title,price,mrp,code,ASIN,url,,
Boy's Striped Regular fit Polo,499,999,B07LCG6VTK,B07QLXFB7V,https://www.amazon.in/United-Colors-Benetton-Striped-19P3089C008FI_901_Black_10-11/dp/B07LCG6VTK/ref=sr_1_40?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-40,,
Women's Flip-Flops,340,499,B07V7D7Y4L,B07QKHNXPC,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-5-19A8CFFPL416I/dp/B07V7D7Y4L/ref=sr_1_41?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-41,,
Men's Baseball Cap,319,1599,B07L4Z3TF9,B07QG5FKYF,https://www.amazon.in/United-Colors-Benetton-Baseball-0IP6CAPBE038I-203-ST_Navy_One/dp/B07L4Z3TF9/ref=sr_1_42?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-42,,
Boy's Striped Regular fit Polo,653,1199,B07MD5RDXY,B07QJFPZ63,https://www.amazon.in/United-Colors-Benetton-Striped-19P3089C00FRI_902_Multicolor_2-3/dp/B07MD5RDXY/ref=sr_1_43?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-43,,
Men's Leather Belt,899,2999,B07L3DZCZZ,B07QLVZF5H,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BFR35S10I-01D_Navy/dp/B07L3DZCZZ/ref=sr_1_44?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-44,,
Men's Printed Regular Fit T-Shirt,628,1699,B07KNMFB91,B07QH9J4ZP,https://www.amazon.in/United-Colors-Benetton-Printed-18P3SPLJ1028I_902_M_Green_Medium/dp/B07KNMFB91/ref=sr_1_45?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-45,,
Boys' Polo,587,1399,B073RLBNC4,B07QKHLQJ4,https://www.amazon.in/United-Colors-Benetton-17A3089CZS27I_Blue-White_L/dp/B073RLBNC4/ref=sr_1_46?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-46,,
Men's Slim Fit Shorts,891,1999,B07LFV68QP,B07QMW3SH5,https://www.amazon.in/United-Colors-Benetton-Shorts-19P4STWE4101I_TC2_32_Yellow/dp/B07LFV68QP/ref=sr_1_47?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-47,,
Men's Flip-Flops,191,499,B07L63N9J4,B07QH9FFLC,https://www.amazon.in/United-Colors-Benetton-Flip-Flops-8-19P8CFFPM233I/dp/B07L63N9J4/ref=sr_1_48?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-48,,
Men's Leather Belt,899,2999,B07L3C4CQH,B07QKYGHDZ,https://www.amazon.in/United-Colors-Benetton-Leather-0IP6BFR30S10I-01C_Black/dp/B07L3C4CQH/ref=sr_1_49?dchild=1&keywords=united+colors+of+benetton&qid=1570700700&s=apparel&sr=1-49,,
